Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Walk,Walk,Walk,Uber/taxi,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to home,Work to home,Prefer not to answer,Home to elsewhere,,East Rock,"Other (please specify),Hillhouse area,Cross campus",HGS,,"Improve lighting,Security presence,Blue light",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,10,Door to door shuttle: more timely,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Walk,I don't travel during this time,I don't travel during this time,Walk,I don't travel during this time,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,Hillhouse area,,,Improve lighting,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,0,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Bike,I don't travel during this time,Bike,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Hillhouse area,Prospect",,,,,Yes,,,,,21,"App request and cancellation, live gps tracking, more availability",Other (please specify),"I don't think Yale should have its own shuttle - Yale should be making the CT system better by incorporating its routes to the public system. This is how it worked at CU Boulder and it was GREAT! Everyone used the same bus system - the public, Boulder bus system",No,No,,No,,No,Yes,Unknown
Walk,I don't travel during this time,I don't travel during this time,Walk,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,CT transit,East Rock,"Hillhouse area,Cross campus",,,,,No,,,Because the commute is too short/long,,25,,Yale provided graduate students with cheaper/free passes,,"Yes, I have and use the app",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Prospect,,,,,No,,,"Because the commute is too short/long,Due to weather considerations",,,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,
Bike,Walk,Bike,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,,East Rock,Hillhouse area,,"At night, I feel that biking is not safe.",Other (please specify),I need to get bike lights.,Yes,,,,,15,"Have an online system where you can request, just like uber, and an algorithm in which the shuttle figures out how to most efficiently cluster the rides together.","Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Fixed route shuttle,Door-to-door shuttle,Bike,Home to work,Home to work,Work to home,Work to home,Home to elsewhere,Work to home,To-door shuttle (Law/Med),East Rock,"Science Hill,Hillhouse area",,,,,Yes,,,,,15,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,Home to work,Work to elsewhere,Work to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Prospect,,At very end. Some poor quality bike racks. ,Other (please specify),More/improve bike racks. ,Yes,,,,,5,Way too slow. Not interested. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Bike,Home to work,Work to elsewhere,Work to elsewhere,Home to work,,,To-door shuttle (Law/Med),Wooster Square,"Prospect,Cross campus",,Temple St. Between Trumbull and Wall St.,Improve lighting,,Yes,,,,,10,,Yale groups hosted off-campus events that could be reached by CT transit,,No,No,,No,,No,No,
,,,Door-to-door shuttle,,,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,,East Rock,Prospect,,,Shuttle access,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,I would love if I could call the shuttle before my gym class and to schedule it for in an hour. ,"I already use CT transit,Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to elsewhere,CT transit,East Rock,"Science Hill,Hillhouse area",,,Blue light,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,5,"Better app, very laggy.  More similar to Citymapper app","Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,Yes,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,CT transit,Downtown,Science Hill,,No,Improve lighting,,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Home to work,Work to home,Work to home,Work to home,Home to work,,East Rock,Hillhouse area,,Campus in general at night,"Shuttle access,Security presence",,No,,,Due to weather considerations,,15,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Walk,Uber/taxi,Uber/taxi,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,,I don't travel during this time,Home to elsewhere,,Other,Hillhouse area,,,,,No,,,Don't feel safe biking in traffic,,5,,,,No,No,,No,,Yes,Yes,
Walk,Bike,Walk,Walk,Walk,Walk,Home to work,Home to elsewhere,Work to home,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,Prospect,,"I walk Mansfield. I don't feel actively unsafe, but I still try to have my wits about me.","Security presence,Other (please specify)","My neighbor (non-Yale) got mugged in broad daylight on the way home from the food trucks. He's a 6'2 fit-looking black guy. I'm not sure it would be reasonable to demand a 24 hour security patrol, but it seems hard to prevent such incidents when nobody is around.",Yes,,,,,0,I never take the shuttle.,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to work,Work to elsewhere,Work to home,I don't travel during this time,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,"Hillhouse area,Med campus",,"Sometimes last shuttle leaves me at Munster and Winchester, when it's preferable to be dropped of at Division and Winchester. Because at night it feels a little uncomfortable.","Blue light,Other (please specify)",Last official stop being Division and Winchester for Red Line.,No,,,Lack of bike paths,,55,"Not sure if this improves it, but maybe doing something combined with other local colleges.","I already use CT transit,Yale provided graduate students with cheaper/free passes,Other (please specify)",Or a universally integrated transit system for all NHV residents,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Car,Fixed route shuttle,Car,Door-to-door shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,West campus,,west campus parking lot late at night,Improve lighting,,No,,,Because the commute is too short/long,,10,more shuttles!,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,Prefer not to answer,"CT transit,To-door shuttle (Law/Med)",East Rock,"Hillhouse area,Prospect",,,,,No,,,Don't feel safe biking in traffic,,15,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Uber/taxi,Uber/taxi,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,"Cross campus,Old campus",,Along prospect where there is current construction feels a little odd after dark.,Blue light,,No,,,Because bikes are expensive,,10,"The Blue Line is easy to catch on my way home from campus, but the Red Line is not convenient for traveling to campus.",Yale provided graduate students with cheaper/free passes,,"Yes, I have and use the app",No,,No,,No,No,Unknown
Car,,,,Car,Car,Home to work,,,,Work to home,Home to elsewhere,To-door shuttle (Law/Med),Hamden,Science Hill,,,Improve lighting,,No,,,Because the commute is too short/long,,15,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Car,I don't travel during this time,I don't travel during this time,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,Hamden,Science Hill,,,,,No,,,Due to weather considerations,,8,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Car,I don't travel during this time,I don't travel during this time,,Car,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Prefer not to answer,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",Other,Science Hill,,,,,No,,,Because the commute is too short/long,,5,,"No, I wouldn't be interested",,No,No,,No,,No,No,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to work,Home to work,Home to work,Work to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,Science Hill,,,,,No,,,Because the commute is too short/long,,10,,Yale provided incentives for using CT transit instead of a car,,"Yes, I've heard of it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Work to home,Work to home,Home to work,,,Home to elsewhere,,Other,Hillhouse area,,no. I live in HHH,Improve lighting,,No,,,Other (please specify),no need,15,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Door-to-door shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Prefer not to answer,Home to elsewhere,,East Rock,Science Hill,,Edwards and streets in East Rock,Improve lighting,,No,,,Because the commute is too short/long,,10,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to home,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,"Science Hill,West campus",,The only place I don't feel safe is the corner of Whitney/Edwards when there are protetsters who aggressively hand out literature and sometimes harass people crossing the street,Security presence,,No,,,"Nowhere to store bike (i.e. bike racks),Don't feel safe biking in traffic",,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,Yes,Yes,
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,To-door shuttle (Law/Med),Downtown,Science Hill,,"Yes, walking downtown on Whitney at night. Red line needs to run later than 6:45PM","Shuttle access,Security presence",,No,,,Don't feel safe biking in traffic,,10,I would like to have the red shuttle run later than 6:45 because I end up needing to walk and feel very unsafe on my walk home from science hill to downtown.,Other (please specify),If it was in my route then perhaps.,No,No,,No,,No,No,Unknown
Walk,Walk,Walk,Car,Uber/taxi,Car,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,"CT transit,Door to door shuttle,To-door shuttle (Law/Med)",Mansfield/Yale Health area,Science Hill,,No.,,,No,,,Because the commute is too short/long,,15,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Work to home,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Prospect Hill,"Science Hill,West campus",,,"Shuttle access,Security presence",,No,,,Don't feel safe biking in traffic,,15,Shuttle app is really great! Sometimes the drivers won't let you on though...especially at west campus. Seems to be for no reason. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,,,,Walk,Door-to-door shuttle,Home to work,,,Work to home,,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,30,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,Whitney Avenue,"Security presence,Blue light",,No,,,Because the commute is too short/long,,1,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,I don't travel during this time,I don't travel during this time,Door-to-door shuttle,Door-to-door shuttle,Car,Home to work,I don't travel during this time,I don't travel during this time,Home to elsewhere,Home to elsewhere,Home to elsewhere,,Prospect Hill,Science Hill,,"My commute is very short. When going/coming from elsewhere, I don't like travelling in the Whitney Ave area/parking lot after dark.","Improve lighting,Security presence,Blue light",,No,,,Because the commute is too short/long,,10,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Work to elsewhere,,Prospect Hill,Science Hill,,,,,No,,,Because the commute is too short/long,,5,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
Bike,Bike,Bike,Bike,Bike,Bike,Home to elsewhere,Home to work,Work to home,Work to home,Home to elsewhere,Home to work,To-door shuttle (Law/Med),Dwight,"Prospect,Cross campus",,,Shuttle access,,Yes,,,,,13,More buses going north on Whitney,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Work to home,Work to home,Home to work,Home to work,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,No,"Improve lighting,Blue light",,No,,,"Lack of bike paths,Because the commute is too short/long",,40,,Yale provided incentives for using CT transit instead of a car,,"Yes, I have the app but don't use it",No,,No,,Yes,Yes,
Bike,Bike,Bike,Door-to-door shuttle,Uber/taxi,Bike,Home to work,Prefer not to answer,Prefer not to answer,Work to home,Prefer not to answer,Home to elsewhere,,East Rock,"Science Hill,York St.",,Orange and Wall,Shuttle access,,Yes,,,,,,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Uber/taxi,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to home,Work to elsewhere,Prefer not to answer,Prefer not to answer,,East Rock,Science Hill,,Generally I feel safe,Improve lighting,,No,,,"Lack of bike paths,Due to weather considerations,Don't feel safe biking in traffic",,15,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,I don't travel during this time,Walk,Walk,I don't travel during this time,CT Transit,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Near Med campus,West campus,,,"Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations",,20,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Fixed route shuttle,Fixed route shuttle,Uber/taxi,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,Mansfield St.,"Shuttle access,Improve lighting,Security presence",,No,,,Because the commute is too short/long,,5,"Lack of shuttle buses going downtown from science hill, lack of shuttle buses on weekends.","Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
CT Transit,Walk,CT Transit,Uber/taxi,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,I don't travel during this time,I don't travel during this time,Home to elsewhere,,Westville,Science Hill,,Between Broadway and Westville,Shuttle access,,No,,,"Lack of bike paths,Due to weather considerations,Don't feel safe biking in traffic",,10,,"I already use CT transit,Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,I don't travel during this time,Walk,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,Fixed route shuttle,East Rock,Science Hill,,Edwards between prospect and Whitney ,Improve lighting,,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,10,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,
Car,I don't travel during this time,I don't travel during this time,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Home to work,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,,Security presence,,No,,,Don't feel safe biking in traffic,,15,,Yale provided incentives for using CT transit instead of a car,,No,No,,No,,No,Yes,
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Walk,I don't travel during this time,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Science Hill,,,,,No,,,"Other (please specify),Don't feel safe biking in traffic",I prefer to walk,8,Space out the orange and blue lines in the morning so they don't travel in pairs--it would be more useful to have individual shuttles come more frequently than to have two shuttles arrive in a caravan.,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,Car,Car,Home to work,Work to home,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,West campus",,pretty much everywhere after dark,"Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations",,10,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,West campus",,,"Improve lighting,Blue light",,No,,,"Lack of bike paths,Due to weather considerations,Don't feel safe biking in traffic",,5,,I already use CT transit,,"Yes, I have and use the app",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,,East Rock,"Science Hill,York St.",,where the protesters next to Planned Parenthood stand,,,No,,,"Because the commute is too short/long,Don't feel safe biking in traffic",,3,"there's no shuttle that goes directly to East Rock, they all seem to go up Prospect Hill first ‰ÛÓåÊI don't want to take a 30 minute shuttle ride when it's only 12 minutes for me to walk to my apartment",Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,To-door shuttle (law/med),Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Home to work,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,"Other (please specify),Prospect",home ,,,,Yes,,,,,10,cutting off the orange line shuttle in east rock from 11AM to 4PM is annoying.,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Walk,I don't travel during this time,I don't travel during this time,Uber/taxi,Uber/taxi,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,No,"Improve lighting,Security presence,Blue light",,No,,,Don't feel safe biking in traffic,,7,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,I don't travel during this time,Work to elsewhere,,Prospect Hill,"Science Hill,Prospect",,,Security presence,,No,,,Because the commute is too short/long,,15,Improve response time ,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Work to home,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Work to home,"CT transit,Fixed route shuttle,Door to door shuttle,To-door shuttle (Law/Med)",East Rock,Science Hill,,,,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,I don't travel during this time,I don't travel during this time,Walk,I don't travel during this time,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,No,,,No,,,Because the commute is too short/long,,0,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,Yes,,No,Yes,
Walk,I don't travel during this time,Walk,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,,,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,10,"More shuttles during rush hour - I occasionally take the shuttle home at this time, and multiple times have been turned away because the shuttle that pulls up is at capacity.",Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,Hillhouse area,,,,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
I don't travel during this time,Walk,Walk,Walk,I don't travel during this time,Walk,I don't travel during this time,Home to work,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",Other,"Science Hill,Hillhouse area",,,,,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,5,Make an online shuttle app (like uber) where you can simply request a ride without calling,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,Work to home,To-door shuttle (Law/Med),East Rock,Science Hill,,Mansfield Street,Security presence,,No,,,Because bikes are expensive,,15,Nothing,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Uber/taxi,Home to work,Home to work,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,Hillhouse area",,,Shuttle access,,Yes,,,,,10,"Orange shuttle service during the day from East Rock would be much appreciated; especially during bad weather, it is difficult to get to campus by bike after 11am.",Other (please specify),if the bus came more frequently,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,Uber/taxi,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,walking around East Rock (sometimes),"Shuttle access,Security presence,Other (please specify)",Faster service for Yale door-to-door shuttles would help a lot.,No,,,Other (please specify),My bike got stolen!,15,"I usually have to wait 40-50 minutes for a shuttle. If there were a door-to-door shuttle app, similar to Uber, where we could share shuttles, that would help a lot.",Yale provided graduate students with cheaper/free passes,,No,No,,Yes,,Yes,Yes,Unknown
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to work,To-door shuttle (Law/Med),Prospect Hill,Hillhouse area,,West of Prospect,"Shuttle access,Improve lighting,Security presence,Blue light",,Yes,,,,,5,"More frequent shuttles because they often fill up, which is super frustrating. Also more routes that go to Union Station.","Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Fixed route shuttle,Door-to-door shuttle,Walk,Home to work,Home to work,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,York St.,,Around the corner of Mansfield and Hillside Pl.,"Security presence,Blue light",,No,,,Because bikes are expensive,,10,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Prospect Hill,Cross campus,,Feel unsafe very rarely,"Shuttle access,Improve lighting",,No,,,"Due to weather considerations,Because bikes are expensive",,15,Fixed night shuttle stops farther north on Prospect street,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Bike,I don't travel during this time,I don't travel during this time,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Haven,"Science Hill,Cross campus,Old campus",,Grand Ave.,Shuttle access,,Yes,,,,,25,Door-to-door access to Fair Haven!,"I already use CT transit,Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,Yes,,Yes,,No,Yes,Unknown
Walk,Walk,Walk,Car,I don't travel during this time,Door-to-door shuttle,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Science Hill,,Edwards/Prospect; Edwards/Whitney,"Improve lighting,Security presence",,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,Additional routes/time (or just buses themselves on the Blue/Orange route) for evenings (5-9 PM) and weekend nights,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Fixed route shuttle,I don't travel during this time,Fixed route shuttle,Car,Car,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,,East Rock,Science Hill,,,,,No,,,Because bikes are expensive,,20,It would be nice to have a shuttle stop closer to Payne Whitney Gym.,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Home to work,Work to home,Work to home,Work to home,To-door shuttle (Law/Med),Mansfield/Yale Health area,"Divinity Quad,Hillhouse area,Prospect,Cross campus",,Mansfield and Prospect streets,"Shuttle access,Improve lighting,Security presence,Blue light",,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Due to weather considerations,Don't feel safe biking in traffic,Because bikes are expensive",,30,More shuttles,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,No,Shuttle access,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,longer orange line hours during bad weather,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Fixed route shuttle,Home to work,Work to elsewhere,I don't travel during this time,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,Science Hill,,On Lake Pl. behind the gym,"Improve lighting,Security presence",,No,,,"Nowhere to store bike (i.e. bike racks),Due to weather considerations",,5,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,
